compound_id,target_id,target_family,pKd,molecular_weight,assay_confidence,assay_type,data_source
CMPD_10401,TRG_2001,Enzyme,8.309,461.36,0.179,Binding Assay,Literature
CMPD_10001,TRG_2001,Enzyme,7.292,243.172,0.542,Functional Assay,ChEMBL
CMPD_10405,TRG_2005,Enzyme,6.733,425.262,0.562,Functional Assay,BindingDB
CMPD_10705,TRG_2005,Enzyme,6.64,424.607,0.616,SPR,ChEMBL
CMPD_10906,TRG_2006,Enzyme,8.159,312.831,0.64,Functional Assay,InHouse
CMPD_10506,TRG_2006,Enzyme,6.855,203.104,0.643,Binding Assay,BindingDB
CMPD_10707,TRG_2007,Enzyme,8.962,209.135,0.729,Functional Assay,InHouse
CMPD_10507,TRG_2007,Enzyme,6.999,390.639,0.511,Binding Assay,BindingDB
CMPD_10810,TRG_2010,Enzyme,7.766,264.229,0.528,Functional Assay,InHouse
CMPD_10811,TRG_2011,Enzyme,8.03,116.292,0.958,Functional Assay,ChEMBL
CMPD_10011,TRG_2011,Enzyme,6.86,366.615,0.489,Binding Assay,ChEMBL
CMPD_10512,TRG_2012,Enzyme,7.072,349.514,0.228,Binding Assay,ChEMBL
CMPD_10313,TRG_2013,Enzyme,8.056,354.156,0.703,Functional Assay,Literature
CMPD_10813,TRG_2013,Enzyme,7.747,422.315,0.792,SPR,Literature
CMPD_10314,TRG_2014,Enzyme,7.981,408.611,0.639,Functional Assay,ChEMBL
CMPD_10814,TRG_2014,Enzyme,7.5,160.965,0.91,SPR,InHouse
CMPD_10614,TRG_2014,Enzyme,7.023,320.774,0.607,SPR,ChEMBL
CMPD_10116,TRG_2016,Enzyme,6.901,336.631,0.817,Binding Assay,BindingDB
CMPD_10716,TRG_2016,Enzyme,6.602,514.92,0.725,Functional Assay,ChEMBL
CMPD_10517,TRG_2017,Enzyme,6.541,326.778,0.581,HTS,ChEMBL
CMPD_10219,TRG_2019,Enzyme,7.317,395.807,0.4,Functional Assay,ChEMBL
CMPD_10121,TRG_2021,Enzyme,6.584,318.533,0.226,Functional Assay,InHouse
CMPD_10523,TRG_2023,Enzyme,7.093,289.54,0.807,HTS,BindingDB
CMPD_10524,TRG_2024,Enzyme,6.939,392.921,0.681,SPR,BindingDB
CMPD_10324,TRG_2024,Enzyme,6.52,438.655,0.299,Binding Assay,ChEMBL
CMPD_10725,TRG_2025,Enzyme,8.703,313.742,0.714,Binding Assay,BindingDB
CMPD_10226,TRG_2026,Enzyme,6.949,421.615,0.489,SPR,ChEMBL
CMPD_10427,TRG_2027,Enzyme,8.702,296.968,0.58,Binding Assay,BindingDB
CMPD_10531,TRG_2031,Enzyme,8.063,415.421,0.65,Binding Assay,InHouse
CMPD_10932,TRG_2032,Enzyme,8.526,176.186,0.836,Binding Assay,ChEMBL
CMPD_10034,TRG_2034,Enzyme,6.688,432.548,0.43,Functional Assay,InHouse
CMPD_10535,TRG_2035,Enzyme,6.972,245.053,0.703,Functional Assay,InHouse
CMPD_10735,TRG_2035,Enzyme,6.721,340.26,0.557,SPR,InHouse
CMPD_10836,TRG_2036,Enzyme,7.795,373.9,0.387,Functional Assay,Literature
CMPD_10437,TRG_2037,Enzyme,7.658,372.32,0.548,Functional Assay,ChEMBL
CMPD_10139,TRG_2039,Enzyme,6.622,365.527,0.535,Binding Assay,InHouse
CMPD_10540,TRG_2040,Enzyme,7.663,354.532,0.957,Functional Assay,BindingDB
CMPD_10240,TRG_2040,Enzyme,6.947,391.827,0.885,Functional Assay,InHouse
CMPD_10441,TRG_2041,Enzyme,8.958,374.786,0.632,Functional Assay,ChEMBL
CMPD_10242,TRG_2042,Enzyme,8.348,348.052,0.735,Binding Assay,InHouse
CMPD_10843,TRG_2043,Enzyme,8.411,296.548,0.458,SPR,Literature
CMPD_10445,TRG_2045,Enzyme,9.389,339.614,0.913,HTS,InHouse
CMPD_10645,TRG_2045,Enzyme,9.237,192.691,0.732,Functional Assay,Literature
CMPD_10245,TRG_2045,Enzyme,8.361,384.906,0.764,Functional Assay,InHouse
CMPD_10748,TRG_2048,Enzyme,8.61,310.892,0.272,Functional Assay,ChEMBL
CMPD_10248,TRG_2048,Enzyme,7.668,399.081,0.517,Functional Assay,ChEMBL
