compound_id,target_id,target_family,molecular_weight,alogP,HBD,HBA,rotatable_bonds,TPSA,assay_type,assay_pH,assay_temp_C,data_source,assay_confidence,pKd,interaction,fp_pc1,fp_pc2,fp_pc3,fp_pc4,fp_pc5,fp_pc6,fp_pc7,fp_pc8,fp_pc9,fp_pc10,fp_pc11,fp_pc12,fp_pc13,fp_pc14,fp_pc15,fp_pc16,prot_emb1,prot_emb2,prot_emb3,prot_emb4,prot_emb5,prot_emb6,prot_emb7,prot_emb8
CMPD_10000,TRG_2000,GPCR,364.216,-0.031,0,6,0,171.363,Functional Assay,7.18,24.8,BindingDB,0.293,5.937,0,0.4556,0.0664,1.2137,-0.4645,-0.015,0.4519,-1.1572,0.1285,-0.619,0.6464,-1.5373,0.7983,0.6549,-2.2605,0.6261,-0.5077,0.1678,-1.724,0.5823,0.1698,-1.7235,1.3685,-1.0194,-1.5513
CMPD_10001,TRG_2001,Enzyme,243.172,2.35,1,4,4,6.171,Functional Assay,7.3,29.2,ChEMBL,0.542,7.292,1,3.4711,0.0586,1.22,0.0333,-0.496,0.4682,1.559,-1.6043,0.4513,-1.8755,0.9304,0.182,-1.2052,-0.0864,-0.7991,2.0169,2.4599,-0.1046,0.3039,0.5047,1.4363,-0.417,-2.0595,1.4643
CMPD_10002,TRG_2002,Transporter,380.416,-0.208,0,6,8,36.932,HTS,6.58,28.3,Literature,0.769,5.084,0,-0.0654,0.0858,-1.3876,-1.2194,0.9835,0.5502,-0.1091,0.1701,0.4617,1.298,0.543,1.0472,-0.6518,-0.1392,1.1486,1.2097,-0.7038,0.0054,0.6599,0.5678,0.6013,1.0836,-1.4078,0.3546
CMPD_10003,TRG_2003,IonChannel,398.847,3.868,0,7,3,116.224,Binding Assay,7.45,23.8,InHouse,0.918,7.183,1,1.0238,0.0701,-0.2378,0.8195,-0.1401,0.3404,1.6426,0.122,0.929,1.7002,-0.6639,-1.0498,-0.1339,1.1018,-1.1075,0.7323,-1.3559,-1.0893,-0.0694,0.4214,-0.8251,-0.893,-1.1311,0.9352
CMPD_10004,TRG_2004,Kinase,394.783,2.648,0,3,3,194.899,HTS,7.65,20.1,Literature,0.248,3.669,0,0.118,0.0869,-1.8907,0.7508,0.1245,-1.7613,0.1823,0.6145,1.761,0.2695,-1.7216,-1.2114,-0.2309,0.4525,0.6675,1.5726,-0.6149,0.8191,-0.2503,0.3985,1.7666,1.928,1.4875,-1.2206
CMPD_10005,TRG_2005,Kinase,436.462,-0.124,0,3,7,157.582,Functional Assay,7.63,24.8,BindingDB,0.562,7.29,1,0.5765,0.9158,0.4434,-1.3066,-0.5166,-1.5341,-1.9425,-0.1999,1.327,0.8334,0.8025,-0.2026,1.0627,-0.0177,-1.4799,-0.9207,-0.5323,0.3665,-0.5272,0.1136,-1.1169,0.3469,2.2416,1.0319
CMPD_10006,TRG_2006,Kinase,416.714,1.943,1,5,4,123.699,SPR,6.47,21.5,BindingDB,0.746,8.965,1,0.9655,0.2302,1.4127,2.0874,0.4994,-0.3541,-0.2205,-0.621,2.096,-0.6355,-1.3123,-0.2122,0.1986,1.472,0.9051,-1.5762,-1.9618,-0.3891,-0.6449,-1.6488,-0.8202,-0.6332,0.7171,-0.475
CMPD_10007,TRG_2007,Enzyme,386.734,1.146,0,3,2,97.777,Binding Assay,7.8,25.1,BindingDB,0.661,5.589,0,0.2962,0.4107,1.2461,0.714,-0.9404,0.2503,-0.4764,-0.177,-0.585,0.0998,-0.8927,-1.0181,1.8243,1.2742,-0.8262,-0.5199,-0.4192,0.0024,-0.4722,-0.9058,-0.4481,0.5137,0.075,-0.6759
CMPD_10008,TRG_2008,IonChannel,344.387,3.075,0,2,1,146.403,Functional Assay,6.6,21.8,ChEMBL,0.794,3.193,0,-0.5916,-0.0093,-0.7221,0.4311,0.2033,1.9642,0.4477,0.2694,-2.597,-0.9191,-0.1278,-0.2308,-0.1884,2.6107,0.5767,-0.3898,-0.621,-0.3111,-1.1019,0.6744,1.6565,-0.3574,-0.3556,0.2815
CMPD_10009,TRG_2009,Transporter,217.123,4.913,1,8,7,72.257,HTS,7.18,28.8,InHouse,0.771,5.492,0,-0.832,1.7418,1.0158,-0.0756,-1.3219,-1.9565,0.4721,-0.1054,0.1736,0.5798,1.728,-0.0326,0.7028,-0.3077,-0.3903,1.3761,0.5165,-0.4081,-2.8353,1.9146,-0.4251,1.0398,0.353,0.0462
CMPD_10010,TRG_2010,Kinase,384.369,-0.875,1,2,5,184.581,HTS,6.23,27.1,Literature,0.268,6.691,1,-0.6655,-0.612,0.6836,-0.0817,-0.2899,-0.469,-0.5848,1.475,-0.5492,-0.5801,0.6368,-1.0908,1.4217,-0.0894,0.1296,0.5073,-0.0834,-0.504,-0.1968,-1.6053,1.4011,-0.3416,0.8353,-0.289
CMPD_10011,TRG_2011,Enzyme,366.615,2.707,0,7,2,42.476,Binding Assay,7.09,27.0,ChEMBL,0.489,6.86,1,-0.6414,-2.315,-2.201,-1.0552,0.3254,-0.518,-0.2963,-0.3436,1.7885,-0.8712,0.6397,0.3482,1.2883,-0.3241,0.3476,0.2554,0.9712,0.2165,-0.5055,0.471,0.7682,-0.4313,-0.0176,-0.2479
CMPD_10012,TRG_2012,Enzyme,371.726,2.212,0,7,6,128.464,Binding Assay,6.6,28.2,ChEMBL,0.573,6.199,0,0.5466,0.488,-0.1088,-0.9732,0.9509,-1.4662,0.6345,-1.1597,-0.193,0.892,0.1398,0.3909,-1.5241,-0.1885,0.7446,0.1223,2.1435,1.3337,-0.4949,-0.8744,0.4972,0.7397,0.0208,1.3356
CMPD_10013,TRG_2013,Kinase,247.86,3.708,1,7,3,51.826,Functional Assay,6.93,26.2,InHouse,0.248,9.293,1,1.3094,0.1978,-0.768,0.2312,0.1805,0.6562,-2.6726,0.0651,1.6852,0.0074,0.2886,0.6197,-0.7922,-0.8496,-0.2632,-0.9332,-0.1472,-0.408,-0.7392,1.5237,-0.1473,2.3648,1.8863,0.1769
CMPD_10014,TRG_2014,Kinase,263.515,2.884,2,7,3,95.626,HTS,7.24,26.6,ChEMBL,0.358,5.667,0,-0.1509,-2.4648,1.1539,0.6767,0.497,1.0123,2.046,1.1358,1.5375,0.2405,-0.308,-1.3365,0.9074,-1.0281,-1.7779,-0.2647,0.8257,-0.6344,-0.4582,-0.8497,-0.2471,-2.6751,-0.1283,1.0622
CMPD_10015,TRG_2015,Kinase,434.252,1.146,1,3,1,140.31,Binding Assay,7.7,29.3,BindingDB,0.613,3.965,0,1.0849,0.1158,0.6778,0.0595,0.3315,0.4144,-0.3112,-0.1504,-0.3576,-1.7979,-1.2225,0.2009,-0.4014,-0.8308,-0.4364,0.6317,-1.57,-1.0065,-0.0428,-1.2868,-0.5447,-1.2998,0.0024,-2.0331
CMPD_10016,TRG_2016,GPCR,346.836,1.926,0,6,5,124.437,Functional Assay,7.68,24.6,InHouse,0.936,6.346,0,0.4738,-0.5559,-1.4618,0.8089,-1.1533,0.4737,0.1352,-0.1884,-0.7714,-0.773,-1.7636,-0.0229,1.0074,-0.5665,1.1981,-0.497,1.1058,-0.0736,-1.6121,0.315,-0.6602,-1.4058,0.4947,0.8602
CMPD_10017,TRG_2017,IonChannel,404.52,1.067,1,5,3,160.459,SPR,5.8,26.8,ChEMBL,0.827,5.015,0,-1.079,3.1766,1.3081,0.4017,-0.2545,-0.3074,0.8715,1.9008,-0.0415,-0.446,-0.7989,-2.8928,-0.9041,-0.5911,0.1922,2.7306,1.2427,-0.3168,0.2651,1.2,0.3892,0.7243,-2.4649,-1.2095
CMPD_10018,TRG_2018,GPCR,352.265,4.437,1,5,4,161.271,SPR,7.61,21.8,InHouse,0.73,5.308,0,-0.0761,-0.0388,-0.3844,0.371,0.3906,-0.6917,0.3069,0.7256,0.2086,-0.004,0.536,-0.2689,1.2525,-0.4893,-0.9567,-0.1784,-0.7872,0.2832,0.3617,-0.161,-0.277,1.1276,-0.4096,-0.1669
CMPD_10019,TRG_2019,GPCR,352.38,2.538,1,1,4,183.783,Functional Assay,7.32,25.2,BindingDB,0.193,8.332,1,-1.1434,0.5028,0.4155,0.8388,-0.6549,-1.0353,1.2782,-0.8872,1.3804,-1.5091,1.5659,1.0276,-0.7993,-0.2302,-0.6123,0.4161,-0.1165,-1.2599,-0.9367,0.8949,-0.0459,-0.1118,-0.144,-1.4621
CMPD_10020,TRG_2020,IonChannel,425.063,5.922,1,7,7,128.151,Binding Assay,6.86,31.8,Literature,0.619,4.587,0,-0.3654,0.9693,1.0579,-0.9131,-0.3095,-0.2671,-0.7524,-1.3531,-1.1045,0.4074,0.5268,0.6961,-0.1976,0.841,0.3802,1.3587,-1.4181,0.789,1.6136,-1.8494,-1.8509,0.1824,1.2044,0.1746
CMPD_10021,TRG_2021,Kinase,308.716,2.391,1,8,4,70.921,HTS,6.67,27.4,InHouse,0.822,6.786,1,-0.5594,-0.8924,0.3258,0.8616,1.0085,0.3262,-0.7413,-0.735,-1.142,-0.3325,-0.2681,-0.4461,0.6782,0.9545,-0.4815,1.2052,-1.113,1.4868,-0.6184,-0.6065,-0.3696,0.9612,-0.5515,0.8483
CMPD_10022,TRG_2022,GPCR,357.69,1.225,2,3,3,58.274,Functional Assay,7.16,24.7,Literature,0.17,6.43,0,0.7997,2.9825,-1.9576,0.3325,0.2316,0.0908,-0.0282,2.6061,-1.3314,-0.4308,0.5067,0.9418,0.7815,-0.1667,1.2726,0.28,-1.1244,-0.4167,1.1887,-3.0397,-0.8569,-1.0225,-0.6083,2.0862
CMPD_10023,TRG_2023,GPCR,313.018,-0.225,2,4,2,111.301,SPR,7.34,25.8,ChEMBL,0.199,5.558,0,-0.455,0.0175,-1.3045,1.1619,1.2903,-0.0769,-0.5839,2.1603,-0.0895,1.8368,0.086,-0.3298,-1.0782,0.382,0.9996,1.3903,-1.0453,-0.4333,-1.1296,0.4379,-1.4751,-0.0159,-0.1885,1.0018
CMPD_10024,TRG_2024,GPCR,315.24,-0.746,4,5,2,127.969,Binding Assay,7.43,24.9,ChEMBL,0.979,4.548,0,-0.3781,-1.3273,1.5229,0.899,-0.1265,0.9026,-1.4826,-1.6413,0.6981,0.7497,-1.9392,-0.471,-0.2751,0.984,0.0221,-1.1562,0.7672,-1.0187,-0.9583,-1.1857,0.1742,-0.1056,-0.5016,0.0172
CMPD_10025,TRG_2025,Transporter,325.266,-0.351,0,4,2,43.642,Functional Assay,7.08,25.7,ChEMBL,0.257,6.07,0,0.5247,-0.3011,-1.0519,0.8755,-0.1759,-0.3558,-0.3962,0.5882,-0.5253,-0.1447,-0.9344,0.3345,-0.4795,0.3732,-1.1007,1.4372,0.6283,-1.0816,0.242,-0.2039,0.1944,-0.0132,-0.4721,-1.4102
CMPD_10026,TRG_2026,Kinase,367.771,2.981,2,2,4,156.118,Binding Assay,5.69,23.8,BindingDB,0.937,6.093,0,-0.0914,0.8476,0.0874,2.8324,-0.8963,0.3292,0.9078,-0.5771,-1.1701,-1.533,1.8728,-0.0627,-0.3449,0.3998,-0.0625,0.7162,0.7254,0.0502,2.1066,-0.356,0.3285,-0.0977,-1.789,-0.1714
CMPD_10027,TRG_2027,IonChannel,311.7,3.416,2,8,4,89.456,Binding Assay,6.9,26.5,Literature,0.719,6.728,1,-0.7504,-0.7931,-1.014,-0.4806,0.2675,-1.9734,1.4692,1.4761,-1.151,-2.4448,-1.3666,-0.5327,-0.5032,1.0224,0.7195,1.8378,-0.2832,1.3272,0.3682,-0.1709,0.1958,-0.4625,-0.4566,0.245
CMPD_10028,TRG_2028,IonChannel,450.46,-0.346,2,4,4,84.905,SPR,6.49,26.6,BindingDB,0.765,6.569,1,-1.3525,-0.2117,0.2538,-0.1241,1.2338,0.4311,2.2439,0.6261,0.5525,-1.065,0.336,-0.8847,-0.3982,0.1078,0.4966,1.827,-1.3733,1.1414,-0.7624,-1.3461,0.4441,1.4284,0.7824,0.1527
CMPD_10029,TRG_2029,Kinase,278.431,4.111,2,7,4,49.598,Functional Assay,8.43,25.0,InHouse,0.832,7.74,1,0.8558,0.1693,1.5774,-0.9874,-0.7549,-0.322,-0.2132,-0.8751,-0.2803,-0.3937,0.6971,1.0906,0.3527,1.551,-0.5633,0.9735,-0.342,-0.6659,0.4635,0.8649,-0.2017,0.3295,-0.6796,2.0915
CMPD_10030,TRG_2030,IonChannel,335.05,1.63,0,7,5,62.785,Functional Assay,7.24,25.4,ChEMBL,0.81,7.291,1,-0.6675,-0.7339,-0.4114,0.7403,-1.3619,-0.0431,1.6811,1.2665,1.2323,-1.5914,0.7393,-1.1821,-1.1971,-0.2067,-2.5894,0.2001,-0.6227,0.1986,0.197,0.3406,0.2171,0.0349,0.4147,1.2846
CMPD_10031,TRG_2031,Kinase,314.822,2.764,1,2,3,57.428,Binding Assay,7.64,26.0,ChEMBL,0.886,4.503,0,0.3293,0.4832,0.0991,2.6392,0.2819,-0.4648,-0.0528,0.7087,1.709,-1.5088,-1.375,-0.9295,0.5789,0.3692,1.2173,-0.7011,1.1934,1.0298,0.4294,-0.652,0.2827,-0.8835,-0.1115,-0.1481
